20999.00,2022-09-25,攀升（IPASON） 星空 i9 12900KF/ 3090 /Ti吃鸡水冷直播整机DIY组装机 【12900KF+RTX】配置一,攀升DIY电脑旗舰店
6099.00,2022-09-25,技嘉RTX3080 3090 Ti AORUS水之力一体水雕/分体水雕 台式机电脑游戏显卡 3080-10G【一体水雕2.0】,技嘉旗舰店
6099.00,2022-09-25,华硕微星七彩虹3060/3060ti 3070/3080/3080ti 3090 电竞游戏独立二手显卡 微星 RTX魔龙X TRIO 24G,起航二手电脑专营店
19599.00,2022-09-25,cloud hin 云轩 i9 12900K深度学习主机双路RTX 3090 GPU服务器工作站电脑主机 12900K|64G|RTX,云轩/Cloudhin旗舰店
25499.00,2022-09-25,攀升（IPASON） 星空 i9 12900KF/ 3090 /Ti吃鸡水冷直播整机DIY组装机 【12900KF+RTXTi】 配置二,攀升DIY电脑旗舰店
16699.00,2022-09-25,宁美i9 12900K/RTX 3090 Ti/组装电脑/台式整机/DIY游戏主机/深度学习工作站 i9 12代+RTX3080+32G,宁美官方旗舰店
10899.00,2022-09-25,磐镭 RTX3070/3080/ 3090 显卡 台式机电竞游戏/图形设计/人工智能/深度学习独立显卡 【RTX-24G】超大显存/土豪金版,磐镭电脑组件京东自营旗舰店
26999.00,2022-09-25,华硕（ASUS） 至尊旗舰i9-12900KS TUF 3090 Ti ROG 全家桶DIY组装电脑 配一】至尊旗舰 全家桶/无显卡（可自由选配显卡）,华硕电脑配件专卖店
5399.00,2022-09-25,华硕微星影驰RTX3060 3070 3080 3090 无锁永劫无游戏设计专业显卡 二手显卡95新 七彩虹RTX24G,乐豪二手电脑配件专营店
18799.00,2022-09-25,戴尔（DELL） XPS8950【22款12代】小外星人游戏电竞设计师旗舰办公台式机电脑单主机 i7-12700 16G内存 1TB固态 RTX 3090 -24G独显 定制,戴尔鼎新台式机专卖店
19999.00,2022-09-25,官祺 12代i9 12900K组装主机包豪斯海景房永劫无间电竞游戏台式diy电脑 3090 ti整机 配置一：12900K+RTX 3080,官祺数码专营店
3588.00,2022-09-25,华硕 微星 影驰 七彩虹RTX3070 3080 3090 无锁吃鸡专业游戏设计专业显卡高性能二手显卡 拆机英伟达随机RTX3080 95新,腾卓二手电脑专营店
